hdi_rank,country,2008,2009,2010,2011,2012,2013,2014,2015,2016
122, Kyrgyzstan,"0,438194444","0,441666667","0,441666667","0,44375","0,450694444","0,456944444","0,460416667","0,4625","0,464583333"
139, Lao People's Democratic Republic,"0,367361111","0,374305556","0,379166667","0,3875","0,395138889","0,402083333","0,406944444","0,411805556","0,415277778"
41, Latvia,"0,570138889","0,568055556","0,566666667","0,570138889","0,572222222","0,578472222","0,581944444","0,584027778","0,586111111"
80, Lebanon,"0,520833333","0,525","0,526388889","0,527777778","0,521527778","0,521527778","0,521527778","0,522222222","0,522916667"
159, Lesotho,"0,333333333","0,339583333","0,342361111","0,345833333","0,350694444","0,350694444","0,353472222","0,354861111","0,358333333"
181, Liberia,"0,277083333","0,280555556","0,282638889","0,289583333","0,291666667","0,297916667","0,299305556","0,3","0,3"
108, Libya,"0,525694444","0,524305556","0,524305556","0,490972222","0,514583333","0,490972222","0,482638889","0,481944444","0,48125"
17, Liechtenstein,"0,624305556","0,624305556","0,627777778","0,63125","0,634027778","0,633333333","0,632638889","0,633333333","0,635416667"
35, Lithuania,"0,577083333","0,570833333","0,572222222","0,575","0,577083333","0,580555556","0,590972222","0,591666667","0,59375"
21, Luxembourg,"0,618055556","0,613194444","0,617361111","0,619444444","0,619444444","0,619444444","0,621527778","0,624305556","0,627777778"
161, Madagascar,"0,347222222","0,349305556","0,35","0,35","0,352083333","0,353472222","0,355555556","0,356944444","0,359027778"
171, Malawi,"0,289583333","0,299305556","0,30625","0,3125","0,315972222","0,320138889","0,325","0,326388889","0,329166667"
57, Malaysia,"0,528472222","0,53125","0,536111111","0,540277778","0,542361111","0,545138889","0,548611111","0,552083333","0,554861111"
101, Maldives,"0,458333333","0,458333333","0,465972222","0,473611111","0,477777778","0,483333333","0,489583333","0,493055556","0,494444444"
182, Mali,"0,270833333","0,276388889","0,279861111","0,283333333","0,283333333","0,283333333","0,2875","0,290277778","0,292361111"
29, Malta,"0,575694444","0,576388889","0,585416667","0,585416667","0,589583333","0,594444444","0,598611111","0,604861111","0,607638889"
106, Marshall Islands,,,,,,,,,
159, Mauritania,"0,330555556","0,336111111","0,338194444","0,340277778","0,346527778","0,352777778","0,356944444","0,356944444","0,358333333"
65, Mauritius,"0,509722222","0,514583333","0,520138889","0,526388889","0,532638889","0,536111111","0,543055556","0,543055556","0,547222222"
74, Mexico,"0,515277778","0,515972222","0,515972222","0,521527778","0,525694444","0,525","0,528472222","0,532638889","0,536111111"
131, Micronesia (Federated States of),"0,413888889","0,41875","0,422222222","0,425694444","0,427777778","0,429861111","0,429166667","0,435416667","0,435416667"
112, Moldova (Republic of),"0,4625","0,459722222","0,465277778","0,470138889","0,475","0,48125","0,483333333","0,48125","0,484027778"
92, Mongolia,"0,474305556","0,478472222","0,484027778","0,49375","0,5","0,50625","0,509722222","0,511805556","0,515972222"
50, Montenegro,"0,545833333","0,547222222","0,550694444","0,554166667","0,555555556","0,557638889","0,559027778","0,561805556","0,5625"
123, Morocco,"0,418055556","0,422222222","0,427777778","0,434722222","0,440972222","0,447916667","0,451388889","0,454861111","0,459722222"
180, Mozambique,"0,269444444","0,275694444","0,279861111","0,282638889","0,286111111","0,29375","0,296527778","0,3","0,302083333"
148, Myanmar,"0,353472222","0,360416667","0,368055556","0,375","0,38125","0,3875","0,391666667","0,395138889","0,398611111"
129, Namibia,"0,399305556","0,404861111","0,4125","0,421527778","0,428472222","0,436111111","0,441666667","0,445833333","0,447916667"
149, Nepal,"0,348611111","0,356944444","0,367361111","0,371527778","0,380555556","0,384722222","0,388888889","0,393055556","0,395138889"
10, Netherlands,"0,629166667","0,629166667","0,631944444","0,639583333","0,639583333","0,640972222","0,641666667","0,643055556","0,644444444"
16, New Zealand,"0,620833333","0,623611111","0,624305556","0,626388889","0,628472222","0,629861111","0,631944444","0,634722222","0,635416667"
124, Nicaragua,"0,426388889","0,427083333","0,43125","0,435416667","0,439583333","0,44375","0,450694444","0,452777778","0,45625"
189, Niger,"0,210416667","0,213888889","0,220833333","0,225694444","0,233333333","0,236111111","0,239583333","0,240972222","0,24375"
157, Nigeria,"0,336805556","0,340277778","0,336111111","0,343055556","0,355555556","0,360416667","0,363888889","0,365972222","0,368055556"
1, Norway,"0,651388889","0,651388889","0,654166667","0,654861111","0,654166667","0,656944444","0,656944444","0,658333333","0,660416667"
48, Oman,"0,543055556","0,547916667","0,550694444","0,552083333","0,558333333","0,563888889","0,565972222","0,570833333","0,570833333"
150, Pakistan,"0,357638889","0,3625","0,365277778","0,368055556","0,371527778","0,373611111","0,380555556","0,382638889","0,388888889"
60, Palau,"0,530555556","0,532638889","0,534027778","0,538194444","0,540277778","0,541666667","0,545833333","0,550694444","0,554166667"
119," Palestine, State of","0,458333333","0,465277778","0,466666667","0,470138889","0,477083333","0,471527778","0,471527778","0,477083333","0,478472222"
